cpu_cycle,ppu_frame,ppu_scanline,ppu_dot,m2_phase,kind,addr,value,dmc_bytes_rem,dmc_sample_addr,dmc_irq_flag,dmc_irq_en,dmc_silence
10035916,338,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
10065697,339,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
10095477,340,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
10125258,341,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
10155038,342,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
10184242,343,255,315,L,W,$4015,$00,0,$FFC0,0,0,1
10184819,343,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
10214599,344,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
10244380,345,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
10272457,346,246,5,H,R,$4015,$00,0,$FFC0,0,0,1
10272532,346,246,230,L,R,$4015,$00,0,$FFC0,0,0,1
10272533,346,246,233,H,W,$4015,$60,0,$FFC0,0,0,1
10272581,346,247,36,H,R,$4015,$20,0,$FFC0,0,0,1
10272616,346,247,141,L,W,$4015,$00,0,$FFC0,0,0,1
10274160,346,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
10303941,347,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
